"Health Center Name","City","State","Total Patients","Children (< 18 years old)","Adult (18 - 64)","Older Adults (age 65 and over)","Racial and/or Ethnic Minority","Hispanic/Latino Ethnicity","Black/African American","Asian","American Indian/Alaska Native","Native Hawaiian / Other Pacific Islander","More than one race","Best Served in another language","year","category","Patients at or below 200% of poverty","Patients at or below 100% of poverty","Uninsured","Medicaid/CHIP","Medicare","Other Third Party","Hypertension","Diabetes","Asthma","HIV","Prenatal Patients","Prenatal Patients who Delivered","Access to Prenatal Care (First Prenatal Visit in 1st Trimester)","Low Birth Weight","Cervical Cancer Screening","Adolescent Weight Screening and Follow Up","Adult Weight Screening and Follow Up","Adults Screened for Tobacco Use and Receiving Cessation Intervention","Colorectal Cancer Screening","Childhood Immunization","Depression Screening","Dental Sealants","Asthma Treatment (Appropriate Treatment Plan)","Statin Therapy for the Prevention and Treatment of Cardiovascular Disease","Heart Attack/Stroke Treatment (Aspirin Therapy for Ischemic Vascular Disease Patients)","Blood Pressure Control (Hypertensive Patients with Blood Pressure < 140/90)","Uncontrolled Diabetes > 9%","HIV Linkage to Care","Breast Cancer Screening","Depression Remission","HIV Screening","Health Center Service Grant Expenditures","Total Cost","Total Cost Per Patient","Medical","Dental","Mental Health","Substance Abuse","Vision","Enabling"
"CEDAR RIVERSIDE PEOPLES CENTER","MINNEAPOLIS","MN","6600","0.22787878787878799","0.633333333333333","0.138787878787879","0.823921319796954","0.044156245175235","0.750645577792124","0.025338928340865","0.009360877985797","-","0.010329244673983","0.461515151515151","2022","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMMUNITY HEALTH SERVICES, INC.","MOORHEAD","MN","3233","0.180946489328797","0.724404577791525","0.094648932879678","0.797007156798959","0.715558383709831","0.045863694813545","0.01114444920703","0.014144877839691","0","0.024432061723103","0.552428085369626","2022","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COOK AREA HEALTH SERVICES, INC.","COOK","MN","14340","0.16255230125523","0.509344490934449","0.328103207810321","0.056086382350656","0.008771929824561","0.00707675557975","0.002410762889805","0.026907224512015","0","0.011898281359359","0.156066945606695","2022","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HENNEPIN CO COMMUNITY HEALTH DEPARTMENT","MINNEAPOLIS","MN","4083","0.109233406808719","0.838109233406809","0.052657359784472","0.770684371807967","0.070429447852761","0.516242555495398","0.017325392528425","0.198429886302112","-","0.020573903627504","0.054126867499388","2022","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HENNEPIN COUNTY, DEPARTMENT OF PRIMARY CARE","MINNEAPOLIS","MN","21084","0.282726237905521","0.608708025042686","0.108565737051793","0.940756238199724","0.334387916517834","0.479188184259451","0.129415410039248","0.005783928940302","-","-","0.382849554164295","2022","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INDIAN HEALTH BOARD OF MINNEAPOLIS, INC.","MINNEAPOLIS","MN","4327","0.272012941992142","0.631384330945228","0.09660272706263","0.916123019571295","0.282456956724058","0.10171080384345","0.015701898289196","0.512772439653152","0","0.085540192172487","0.171019181881211","2022","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAKE SUPERIOR COMMUNITY HEALTH CENTER","DULUTH","MN","10756","0.168185198958721","0.684176273707698","0.147638527333581","0.157696030977735","0.02603440260344","0.045109858059498","0.012055220688314","0.038110052498542","-","0.04248493097414","0.068055039047973","2022","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NATIVE AMERICAN COMMUNITY CLINIC","MINNEAPOLIS","MN","3370","0.229080118694362","0.682789317507418","0.08813056379822","0.906777062250843","0.140720390720391","0.114852108244179","0.013530522341095","0.621774701069855","-","0.141283826305853","0.066765578635015","2022","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEIGHBORHOOD HEALTHSOURCE","MINNEAPOLIS","MN","7577","0.250626897188861","0.664774976903788","0.084598125907351","0.71141857989965","0.333832559532724","0.368953880764904","0.04705661792276","0.026809148856393","-","0.051181102362205","0.333641282829616","2022","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OPEN CITIES HEALTH CENTER","SAINT PAUL","MN","5766","0.151231356226153","0.678633368019424","0.170135275754422","0.779865506329114","0.121670818164399","0.58816094375395","0.084895723614915","0.014746155466611","-","0.025068464293238","0.265695456122095","2022","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OPEN DOOR HEALTH CENTER","MANKATO","MN","5985","0.302589807852966","0.606182121971596","0.091228070175439","0.449440199040341","0.289144403111261","0.100189035916824","0.032766225582861","0.01722327242176","0.003780718336484","0.041587901701323","0.16390977443609","2022","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAWTOOTH MOUNTAIN CLINIC, INC","GRAND MARAIS","MN","4368","0.160714285714286","0.467490842490843","0.371794871794872","0.140014385039559","0.020684736091298","0.005777563793934","0.003851709195956","0.087144920558498","0","0.025276841598459","0.03228021978022","2022","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTHSIDE COMMUNITY HEALTH SERVICES","MINNEAPOLIS","MN","9925","0.296221662468514","0.646347607052897","0.057430730478589","0.853105373342638","0.676011756726204","0.170553064275037","0.015844544095665","0.074439461883408","-","0.019730941704036","0.582065491183879","2022","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNITED FAMILY PRACTICE HEALTH CENTER, INC.","SAINT PAUL","MN","8352","0.212523946360153","0.676484674329502","0.110991379310345","0.630596060373497","0.237195425161611","0.347282608695652","0.055434782608696","0.012228260869565","-","0.007065217391304","0.196360153256705","2022","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNIVERSITY OF MINNESOTA","MINNEAPOLIS","MN","9945","0.281246857717446","0.614580191050779","0.104172951231775","0.825426746256152","0.292389853137517","0.384789399978455","0.122374232467952","0.037918776257675","0.002477647312291","0.010233760637725","0.475012569130216","2022","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEST SIDE COMMUNITY HEALTH SERVICES, INC. DBA MINNESOTA COMMUNITY CARE","SAINT PAUL","MN","36480","0.271134868421053","0.658141447368421","0.070723684210526","0.882823173744949","0.56501663416313","0.175707154742097","0.173577371048253","0.011181364392679","0.000698835274542","0.020765391014975","0.591036184210526","2022","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CEDAR RIVERSIDE PEOPLES CENTER","MINNEAPOLIS","MN","6777","0.212040725984949","0.662535045005165","0.125424229009886","0.832603254067585","0.046256847230676","0.766181876298546","0.019018699057056","0.012306217036919","-","0.007032124021096","0.479268112734248","2023","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMMUNITY HEALTH SERVICES, INC.","MOORHEAD","MN","4040","0.164356435643564","0.724504950495049","0.111138613861386","0.776658920733282","0.674242424242424","0.064295039164491","0.015992167101828","0.018929503916449","0","0.019582245430809","0.555693069306931","2023","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COOK AREA HEALTH SERVICES, INC.","COOK","MN","14106","0.167517368495676","0.497731461789309","0.334751169715015","0.054373129364815","0.009571746843799","0.007159507159507","0.002081252081252","0.023643023643024","0","0.013153513153513","0.148518360981143","2023","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HENNEPIN CO COMMUNITY HEALTH DEPARTMENT","MINNEAPOLIS","MN","4849","0.073417199422561","0.880800164982471","0.045782635594968","0.786660966224882","0.075836276750468","0.538216560509554","0.011373976342129","0.196542311191993","-","0.020473157415833","0.049700969272015","2023","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HENNEPIN COUNTY, DEPARTMENT OF PRIMARY CARE","MINNEAPOLIS","MN","22692","0.269654503789882","0.619601621716905","0.110743874493213","0.949486301369863","0.349065750044068","0.70191942948183","0.19566042030195","0.007207343904104","0.001744935892573","0.010848949245126","0.430548210823198","2023","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INDIAN HEALTH BOARD OF MINNEAPOLIS, INC.","MINNEAPOLIS","MN","4307","0.271186440677966","0.644532156953796","0.084281402368238","0.919335705812574","0.304060434372049","0.123880958141786","0.017420759738689","0.484151947737721","-","0.094362448584563","0.186905038309728","2023","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAKE SUPERIOR COMMUNITY HEALTH CENTER","DULUTH","MN","11404","0.177832339529989","0.67423710978604","0.147930550683971","0.160109041344843","0.028141419538695","0.046184738955823","0.010952902519168","0.041986126323476","0","0.038882803943045","0.057874430024553","2023","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NATIVE AMERICAN COMMUNITY CLINIC","MINNEAPOLIS","MN","3786","0.223454833597464","0.693343898573693","0.083201267828843","0.906797477224947","0.193368237347295","0.099819168173599","0.009403254972875","0.606871609403255","0.01121157323689","0.163110307414105","0.091125198098257","2023","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEIGHBORHOOD HEALTHSOURCE","MINNEAPOLIS","MN","7901","0.256043538792558","0.657638273636249","0.086318187571194","0.715604661722416","0.369666117682288","0.357462541350457","0.045339560225725","0.023545436855419","0.003308036582993","0.043199065966141","0.384634856347298","2023","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OPEN CITIES HEALTH CENTER","SAINT PAUL","MN","6313","0.139236496119119","0.697132900364328","0.163630603516553","0.816707359609348","0.22371326651945","0.526247689463956","0.08539741219963","0.019593345656192","-","0.008502772643253","0.284492317440203","2023","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OPEN DOOR HEALTH CENTER","MANKATO","MN","5666","0.336569008118602","0.575361807271444","0.088069184609954","0.475333720255369","0.322426470588235","0.107656065959953","0.031802120141343","0.0150765606596","0.004475853945819","0.028268551236749","0.194493469819979","2023","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAWTOOTH MOUNTAIN CLINIC, INC","GRAND MARAIS","MN","4410","0.146485260770975","0.485260770975057","0.368253968253968","0.148531139835488","0.023526671325414","0.011105860113422","0.006616257088847","0.079395085066163","-","0.031899810964083","0.025170068027211","2023","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTHSIDE COMMUNITY HEALTH SERVICES","MINNEAPOLIS","MN","11168","0.31035100286533","0.638431232091691","0.05121776504298","0.869642504444005","0.699089602299952","0.161857757529739","0.015945330296128","0.06378132118451","-","0.016451531257909","0.619269340974212","2023","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNITED FAMILY PRACTICE HEALTH CENTER, INC.","SAINT PAUL","MN","7473","0.189214505553325","0.696775056871404","0.114010437575271","0.642178688037993","0.253625248791584","0.346018548129197","0.044931244003838","0.016309561880397","-","0.009433962264151","0.215576073865917","2023","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNIVERSITY OF MINNESOTA","MINNEAPOLIS","MN","10831","0.29554057797064","0.60234512048749","0.102114301541871","0.836562440053712","0.344759206798867","0.363146551724138","0.086598746081505","0.037225705329154","0.015086206896552","0.009208463949843","0.494691164250762","2023","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEST SIDE COMMUNITY HEALTH SERVICES, INC. DBA MINNESOTA COMMUNITY CARE","SAINT PAUL","MN","35022","0.273827879618526","0.652589800696705","0.07358231968477","0.901601971657425","0.596549636803874","0.185938910622931","0.180785434848029","0.013128197411977","-","0.009554619319892","0.622180343783907","2023","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CEDAR RIVERSIDE PEOPLES CENTER","MINNEAPOLIS","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","Patient Characteristics","0.891949152542373","0.638771186440678","0.166367030839441","0.669202046743189","0.070114783570737","0.094316138846633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMMUNITY HEALTH SERVICES, INC.","MOORHEAD","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","Patient Characteristics","0.980653769179453","0.80787191460974","0.765033112582782","0.131655629139073","0.030198675496689","0.073112582781457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COOK AREA HEALTH SERVICES, INC.","COOK","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","Patient Characteristics","0.933306548814785","0.464041783848935","0.144314431443144","0.277677767776778","0.256675667566757","0.321332133213321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HENNEPIN CO COMMUNITY HEALTH DEPARTMENT","MINNEAPOLIS","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","Patient Characteristics","0.999005469915465","0.987817006464446","0.171173406102704","0.680476308608286","0.118829074671297","0.029521210617713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HENNEPIN COUNTY, DEPARTMENT OF PRIMARY CARE","MINNEAPOLIS","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","Patient Characteristics","0.982378854625551","0.844150758688204","0.324675782351283","0.469939385396109","0.054482661404003","0.150902170848604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INDIAN HEALTH BOARD OF MINNEAPOLIS, INC.","MINNEAPOLIS","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","Patient Characteristics","0.966429298067141","0.679891488640217","0.466904761904762","0.376904761904762","0.037619047619048","0.118571428571429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAKE SUPERIOR COMMUNITY HEALTH CENTER","DULUTH","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","Patient Characteristics","0.896382016493748","0.590715615855281","0.220218414988478","0.49373810239455","0.173830277527302","0.11221320508967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NATIVE AMERICAN COMMUNITY CLINIC","MINNEAPOLIS","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","Patient Characteristics","0.930121914956884","0.711269699672911","0.195127402771569","0.639025480554314","0.061466249441216","0.104380867232901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEIGHBORHOOD HEALTHSOURCE","MINNEAPOLIS","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","Patient Characteristics","0.836316246741963","0.572893136403128","0.302731041209461","0.369422092172641","0.059863447939527","0.267983418678371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OPEN CITIES HEALTH CENTER","SAINT PAUL","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","Patient Characteristics","0.993000874890639","0.773403324584427","0.421164021164021","0.39212228101117","0.08042328042328","0.106290417401529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OPEN DOOR HEALTH CENTER","MANKATO","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","Patient Characteristics","0.875101874490628","0.467400162999185","0.268326417704011","0.556846473029046","0.031350852927616","0.143476256339327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAWTOOTH MOUNTAIN CLINIC, INC","GRAND MARAIS","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","Patient Characteristics","0.594092266843677","0.19681380683704","0.061496196111581","0.166737109044801","0.314454775993238","0.45731191885038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTHSIDE COMMUNITY HEALTH SERVICES","MINNEAPOLIS","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","Patient Characteristics","0.971590909090909","0.6875","0.378646498379334","0.524015322659857","0.006679108142619","0.090659070818191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNITED FAMILY PRACTICE HEALTH CENTER, INC.","SAINT PAUL","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","Patient Characteristics","0.802992518703242","0.517768079800499","0.172570982026569","0.372427715550925","0.14756446991404","0.307436832508466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNIVERSITY OF MINNESOTA","MINNEAPOLIS","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","Patient Characteristics","0.881574482524601","0.617746861214795","0.247913862718708","0.518977119784657","0.094930462090624","0.138178555406012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEST SIDE COMMUNITY HEALTH SERVICES","SAINT PAUL","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019","Patient Characteristics","0.935030882181564","0.68220487122713","0.415967268149392","0.367157994125052","0.042147503147293","0.174727234578263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CEDAR RIVERSIDE PEOPLES CENTER","MINNEAPOLIS","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020","Patient Characteristics","0.749561557348299","0.433882848123465","0.281567614125754","0.388027562446167","0.064341085271318","0.266063738156761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMMUNITY HEALTH SERVICES, INC.","MOORHEAD","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020","Patient Characteristics","0.969568892645816","0.772189349112426","0.796126401630989","0.09072375127421","0.037376826367652","0.075773020727149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COOK AREA HEALTH SERVICES, INC.","COOK","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020","Patient Characteristics","0.950215731828742","0.465814802522403","0.130337941628264","0.284254992319508","0.251920122887865","0.333486943164363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HENNEPIN CO COMMUNITY HEALTH DEPARTMENT","MINNEAPOLIS","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020","Patient Characteristics","0.999440715883669","0.991890380313199","0.17444384156267","0.686923494302767","0.112588171459577","0.026044492674986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HENNEPIN COUNTY, DEPARTMENT OF PRIMARY CARE","MINNEAPOLIS","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020","Patient Characteristics","0.970543806646526","0.802416918429003","0.311648517418564","0.483759958516004","0.065620138594258","0.138971385471173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
